texto,etiqueta
"Revisé el código de calidad de datos, agregué umbrales configurables y tests.",Productivo
Implementé snapshot de dataset con manifesto JSON y carpeta data/versions.,Productivo
Hoy estudié embeddings vs TF-IDF y decidí mantener TF-IDF por interpretabilidad.,Productivo
Completé la limpieza ortográfica básica y normalización de espacios múltiples.,Productivo
"Avancé la comparación vectorial, exporté CSV de métricas y un markdown resumen.",Productivo
Hoy entregué antes de la hora límite y todavía tuve tiempo de revisar el PR.,Productivo
"Escribí ejemplos difíciles para el dataset: textos cortos, largos y con ruido URL.",Productivo
"Terminé la sesión de coding kata, aprendí un patrón nuevo y lo anoté.",Productivo
Hoy practiqué presentación oral del pipeline para la defensa del proyecto.,Productivo
Configuré pytest para el módulo NLP y dejé los tests verdes en local.,Productivo
Cerré el día documentando pendientes resueltos y actualizando el checklist de Edén.,Productivo
"Hoy prioricé calidad sobre cantidad: menos features, más tests y mejor dataset.",Productivo
Implementé remoción de duplicados exactos y casi-duplicados por texto normalizado.,Productivo
Avancé el informe de balance de clases con porcentajes y ratio productivo/procrastinación.,Productivo
"Hoy cumplí mi rutina: planificar, ejecutar, medir y reflexionar al final.",Productivo
Terminé de integrar spaCy obligatorio con mensaje de error accionable si falta el modelo.,Productivo
Completé la versión v1.1.0 del dataset y actualicé el puntero current en versions.,Productivo
Hoy resolví un bug de tokenización con tildes y validé con casos de prueba.,Productivo
Escribí el script generate_dataset y regeneré el CSV crudo de forma reproducible.,Productivo
Cerré todas las mejoras NLP pendientes del README correspondientes a Edén.,Productivo
"Hoy fue un día altamente productivo: enfoque, entrega y aprendizaje continuo.",Productivo
"Prepararé el entorno, instalé dependencias y corrí smoke tests sin fricción.",Productivo
Implementé logging estructurado en la limpieza para auditar filas descartadas.,Productivo
Hoy colaboré con Model Builder alineando el contrato de features vectorizadas.,Productivo
"Terminé la pasada de QA del CSV: sin nulos, sin vacíos y clases equilibradas.",Productivo
Avancé la documentación de data/versions explicando cómo crear un nuevo snapshot.,Productivo
Hoy estudié regular expressions para limpieza y mejoré el patrón de URLs.,Productivo
Completé un bloque de deep work de tres horas sobre feature engineering.,Productivo
Revisé métricas del baseline NLP y confirmé que el dataset nuevo aporta señal.,Productivo
Hoy dejé el módulo NLP listo para producción académica del curso MLOps.,Productivo
Escribí ejemplos de procrastinación y productividad con vocabulario contrastante.,Productivo
Terminé mi lista Kanban del día: todo en Done antes de las seis de la tarde.,Productivo
Hoy practiqué lematización de verbos irregulares en español con spaCy.,Productivo
Implementé min_df y max_features configurables para experimentar vectorización.,Productivo
Cerré el ciclo extract-clean-vectorize con reporte JSON de calidad persistido.,Productivo
Hoy mantuve disciplina digital: móvil en otra habitación mientras trabajaba.,Productivo
Avancé la guía junior del README con comandos exactos de spaCy y pytest.,Productivo
Completé la validación de columnas requeridas texto y etiqueta en extract_data.,Productivo
"Hoy entregué valor real: dataset, calidad, tests, comparación y versionado.",Productivo
Terminé el día con el checklist de Edén marcado como completado al 100%.,Productivo
Revisé el informe de calidad y confirmé cero vacíos tras la limpieza automática.,Productivo
Hoy sincronizé data/versions con raw y dejé current.json apuntando a v1.1.0.,Productivo
Practiqué predicciones batch y validé que el vectorizer transform es estable.,Productivo
Completé el smoke test del pipeline NLP en menos de un minuto reproducible.,Productivo
Hoy escribí ejemplos contrastivos claros para facilitar el aprendizaje del modelo.,Productivo
"Cerré la sesión con commits limpios, tests verdes y documentación actualizada.",Productivo
Implementé un helper de nombres de features compartido entre train e inferencia.,Productivo
Hoy dejé BoW y TF-IDF comparables con la misma semilla y el mismo clasificador.,Productivo
Pasé toda la mañana revisando redes sociales y viendo videos. No logré avanzar ni una sola tarea importante.,Procrastinación
Quería estudiar pero terminé jugando videojuegos hasta tarde. Mañana lo dejo para otro día otra vez.,Procrastinación
Aplacé el estudio para ver series. Abrí el material pero no leí ni una página completa.,Procrastinación
Estuve distraído todo el día con el celular. Empecé varias cosas y no terminé ninguna.,Procrastinación
Dije que iba a programar pero me quedé navegando foros sin propósito. Perdí toda la tarde.,Procrastinación
Prometí empezar el informe pero preferí ordenar carpetas innecesarias y tomar café sin avanzar.,Procrastinación
Retrasé la entrega otra vez. Me distraje con WhatsApp y no abrí el documento del trabajo.,Procrastinación
Pasé horas pensando en empezar y nunca lo hice. El día se fue sin resultados concretos.,Procrastinación
Salté entre pestañas del navegador sin foco. Quería trabajar pero elegí distraerme constantemente.,Procrastinación
Aplacé estudiar para el examen. Vi memes y videos cortos hasta que se hizo de noche.,Procrastinación
Tenía pendiente la tarea de la universidad pero preferí dormir la siesta y no retomé.,Procrastinación
Abrí el IDE pero no escribí código. Me quedé leyendo noticias irrelevantes todo el rato.,Procrastinación
Dejé para último momento el laboratorio. Empecé tarde y no alcancé a terminar.,Procrastinación
Quería leer el paper pero abrí YouTube. Terminó siendo un día vacío de aprendizaje.,Procrastinación
Me levanté con intención de trabajar pero me quedé en la cama revisando el teléfono.,Procrastinación
Pospuse la reunión de avance y no preparé nada. Siento que el día fue improductivo.,Procrastinación
Empecé cinco tareas distintas y no cerré ninguna. Cambié de contexto sin disciplina.,Procrastinación
Dije mañana lo hago otra vez. Hoy solo procrastiné y evité lo importante.,Procrastinación
Perdí tiempo en discusiones inútiles en redes. No avancé en el proyecto del curso.,Procrastinación
Intenté estudiar estadística pero me distraje con el celular cada cinco minutos.,Procrastinación
Evité abrir el documento del informe. Busqué excusas todo el día para no trabajar.,Procrastinación
Tenía energía por la mañana pero la gasté en entretenimiento. La noche llegó sin avances.,Procrastinación
Retrasé el estudio de Airflow. Preferí ver tutoriales sin aplicar nada práctico.,Procrastinación
Abrí el material de PyCaret y lo cerré a los dos minutos. Hoy no hubo disciplina.,Procrastinación
Prometí avanzar el frontend pero terminé scrolleando sin propósito durante horas.,Procrastinación
Quería practicar código pero me quedé chateando. Cero líneas útiles al final del día.,Procrastinación
Aplacé la limpieza del dataset. Inventé tareas menores para evitar lo importante.,Procrastinación
"Día de procrastinación total: redes, series y cero progreso en el clasificador.",Procrastinación
"Empecé tarde, me distraje rápido y abandoné el estudio antes de la primera hora.",Procrastinación
Sabía qué tenía que hacer pero elegí posponerlo. Otra jornada de baja productividad.,Procrastinación
Pasé la tarde reorganizando playlists en lugar de estudiar para el parcial.,Procrastinación
Abrí el PDF del paper y lo dejé en segundo plano mientras veía reels.,Procrastinación
Dije que solo cinco minutos de celular y terminaron siendo tres horas.,Procrastinación
Evité el IDE todo el día. Preferí limpiar el escritorio una y otra vez.,Procrastinación
Quería entrenar el modelo pero me quedé leyendo hilos de Twitter sin fin.,Procrastinación
Pospuse escribir tests. Encontré mil microtareas inútiles para no empezar.,Procrastinación
Hoy no toqué el teclado para código. Solo notificaciones y café frío.,Procrastinación
Planeé estudiar spaCy pero terminé viendo gameplays hasta la madrugada.,Procrastinación
Abrí Jupyter y lo cerré. Me fui a la cocina mil veces sin motivo.,Procrastinación
La lista de pendientes creció y yo solo respondí stickers en el chat.,Procrastinación
Intenté leer documentación y salté a comprar cosas online que no necesitaba.,Procrastinación
Dije que haría el DAG mañana. Hoy solo miré el reloj y postergué.,Procrastinación
Me senté a trabajar y abrí tres series al mismo tiempo. Cero foco.,Procrastinación
Evité revisar el PR pendiente. Me escondí en tareas cosméticas del README.,Procrastinación
Hoy procrastiné con productividad falsa: ordené archivos sin avanzar el modelo.,Procrastinación
Quería practicar SQL pero abrí un juego móvil y perdí la tarde.,Procrastinación
Retrasé el commit otra noche. El miedo a revisar el código me paralizó.,Procrastinación
Pasé horas en foros debatiendo tools y no escribí una sola línea útil.,Procrastinación
"Me desperté tarde, desayuné lento y ya era de tarde sin haber empezado.",Procrastinación
Abrí el dataset y lo miré. Luego fui a ver videos de gatos dos horas.,Procrastinación
Prometí media hora de estudio. Terminé en un live de tres horas.,Procrastinación
"Hoy evité MLflow, evité tests y evité todo lo que importaba.",Procrastinación
Cambié el wallpaper del laptop cinco veces en vez de codear.,Procrastinación
Dije que organizar el día era prioridad. Solo organicé excusas.,Procrastinación
Empecé un tutorial y lo abandoné en el minuto dos por un mensaje.,Procrastinación
"La procrastinación ganó: plan perfecto en la cabeza, cero ejecución.",Procrastinación
Hoy solo consumí contenido. No produje nada para el proyecto.,Procrastinación
Pospuse la limpieza NLP. Preferí discutir stacks en Discord.,Procrastinación
Abrí VS Code como adorno. El cursor parpadeaba y yo no escribía.,Procrastinación
Me distraje con notificaciones de ofertas. El lab quedó a medias.,Procrastinación
Quería avanzar FastAPI pero me quedé customizando temas de la terminal.,Procrastinación
"Hoy fue improductivo: siestas, shorts y cero commits.",Procrastinación
Evité el dataset difícil. Elegí tareas fáciles que no mueven la aguja.,Procrastinación
Dije después del almuerzo. Después nunca llegó.,Procrastinación
Pasé el bloque de deep work contestando memes del grupo.,Procrastinación
Abrí el issue tracker y lo cerré del susto. Preferí ignorarlo.,Procrastinación
Hoy no hubo pomodoro. Solo doomscrolling infinito.,Procrastinación
Retrasé documentar el pipeline. Inventé que mañana estaría más claro.,Procrastinación
Me puse auriculares para concentrarme y terminé en un podcast random.,Procrastinación
La tarea clave quedó intocada. Llené el día de ruido digital.,Procrastinación
Quería comparar BoW y TF-IDF pero abrí Netflix 'solo un capítulo'.,Procrastinación
Hoy procrastiné elegantemente: investigación eterna sin implementar.,Procrastinación
Evité spaCy porque 'era complicado instalarlo'. Fue una excusa.,Procrastinación
"Dije que el dataset estaba bien con 60 filas. Era comodidad, no criterio.",Procrastinación
Me senté a escribir tests y abrí el score del partido en su lugar.,Procrastinación
Hoy no avancé el versionado de datos. Preferí ver setups de escritorios.,Procrastinación
Pospuse el reporte de calidad. El CSV sigue con posibles huecos.,Procrastinación
Abrí el README para editarlo y terminé en un rabbit hole de links.,Procrastinación
La tarde se fue en configurar herramientas que no necesitaba hoy.,Procrastinación
Hoy dije productividad y practiqué evasión de alta calidad.,Procrastinación
"Evité el diff grande. Mañana lo veo, como siempre.",Procrastinación
Me distraje calibrando la silla más que el modelo.,Procrastinación
Quería cerrar el checklist de Edén pero abrí otra app de hábitos.,Procrastinación
Hoy el celular ganó 10 a 0 contra mi lista de tareas.,Procrastinación
Retrasé snapshot del dataset. No había 'mood' para carpetas.,Procrastinación
Empecé a escribir un script y lo borré por perfeccionismo inútil.,Procrastinación
Pasé la noche 'descansando' con series y amanecí peor.,Procrastinación
Hoy improvisé ocio y cancelé el bloque de estudio sin aviso.,Procrastinación
Abrí el entorno virtual y lo dejé ahí. Ni pip install hice.,Procrastinación
La procrastinación se disfrazó de descanso merecido a las 10 a.m.,Procrastinación
Dije cinco minutos de TikTok. Fueron cincuenta.,Procrastinación
Evité revisar métricas porque 'seguro están mal'. Ni miré.,Procrastinación
Hoy no hubo entrega. Solo intención y culpable scroll.,Procrastinación
Pospuse Airflow otra semana. El miedo al scheduler me ganó.,Procrastinación
Me puse a comparar laptops online en vez de terminar el CSV.,Procrastinación
Quería practicar lematización y terminé en un foro de memes NLP.,Procrastinación
Hoy el plan era claro. La ejecución fue cero.,Procrastinación
Abrí el ticket fácil y tampoco lo cerré. Impresionante.,Procrastinación
Retrasé el push del dataset ampliado por 'pulir mañana'.,Procrastinación
Me distraje decorando el README mientras el código esperaba.,Procrastinación
Hoy procrastiné en equipo: reunión larga sin decisiones.,Procrastinación
Evité pytest. Correr tests me enfrentaba a la realidad.,Procrastinación
Dije que el modelo esperaría. El día se fue igual.,Procrastinación
Pasé horas eligiendo fuente para slides que nadie pidió.,Procrastinación
Hoy no toqué el archivo de preprocess. Solo pensé en tocarlo.,Procrastinación
Abrí documentación oficial y me fui a un video de 'productividad'.,Procrastinación
La ironía del día: ver tips anti-procrastinación sin aplicar ninguno.,Procrastinación
Pospuse balancear clases. El CSV sigue como ayer.,Procrastinación
Me levanté motivado y me senté a no hacer nada útil.,Procrastinación
"Hoy ganó la distracción: notificaciones 24, tareas 0.",Procrastinación
Evité el trabajo profundo con microtareas eternas de tidy-up.,Procrastinación
"Dije después de comer. Comí, siesté y se acabó el día.",Procrastinación
Quería versionar datos pero abrí el marketplace de extensiones.,Procrastinación
Hoy fue un clásico: ambición matutina y abandono vespertino.,Procrastinación
Retrasé todo lo medible. Preferí lo cómodo e invisible.,Procrastinación
Me escondí en planificar planes de planes. Cero output.,Procrastinación
"Abrí el CSV, conté filas y cerré. Eso no es avanzar.",Procrastinación
Hoy procrastiné con estilo: café artesanal y cero commits.,Procrastinación
"Evité escribir el reporte BoW/TF-IDF. Mañana, claro.",Procrastinación
La lista creció. Yo decrecí en voluntad.,Procrastinación
Dije que solo revisaría el teléfono. Mentí.,Procrastinación
Pospuse la demo rehearsal. El miedo al escenario ganó.,Procrastinación
"Hoy no hubo spaCy, no hubo tests, no hubo dataset nuevo.",Procrastinación
Me distraje optimizando el prompt de un chatbot irrelevante.,Procrastinación
Abrí el proyecto y salí a caminar sin volver al teclado.,Procrastinación
Hoy elegí el camino fácil: posponer y justificar.,Procrastinación
Retrasé el cierre del checklist. Quedó todo en pendiente eterno.,Procrastinación
La jornada terminó igual que empezó: con tareas intactas.,Procrastinación
